Category,Cost,Description,Eligibility,Monthly,ID,Product Name,Year,Company name
Life Insurance,750000000,Life coverage for whole family.,Families,1400000,P083,Family Life,25,PeDang Insure
Travel Insurance,25000000,Travel coverage for older adults.,Seniors,300000,P084,Senior Travel,1,PeDang Insure
Life Insurance,400000000,Life coverage protecting business continuity.,Business owners,1100000,P085,Business Owner Life,20,PeDang Insure
Health Insurance,350000000,Comprehensive health with wellness benefits.,Adults,1050000,P086,Health Plus,12,PeDang Insure
Disability Insurance,250000000,Higher benefit amounts.,Employed,950000,P087,Disability Plus,10,PeDang Insure
Travel Insurance,20000000,Travel coverage for whole family.,Families,280000,P088,Travel Family,1,PeDang Insure
Mortgage Protection,350000000,Life cover linked to mortgage balance.,Homeowners,800000,P089,Mortgage Life,20,PeDang Insure
Property Insurance,400000000,Broad property damage coverage.,Homeowners,1300000,P090,Property Shield,10,PeDang Insure
Travel Insurance,30000000,Travel insurance for corporate trips.,Business travelers,350000,P091,Business Travel,1,PeDang Insure
Life Insurance,600000000,Life cover tailored for seniors.,Seniors,1200000,P092,Life Secure Senior,25,PeDang Insure
Health Insurance,280000000,Secure health coverage with low co‑pay.,Adults,950000,P093,Health Secure,12,PeDang Insure
Accident Insurance,130000000,Accident death and medical benefits.,Individuals,500000,P094,Accident Secure,5,PeDang Insure
Savings Plan,1200000000,Secure savings with life protection.,Adults,2100000,P095,Savings Secure,25,PeDang Insure
Critical Illness,380000000,Secure critical illness coverage.,Adults,1050000,P096,Critical Illness Secure,12,PeDang Insure
Property Insurance,250000000,Home and contents coverage.,Homeowners,600000,P097,Home Secure,10,PeDang Insure
Business Insurance,750000000,Comprehensive business protection.,Businesses,1600000,P098,Business Secure,5,PeDang Insure
Travel Insurance,22000000,Secure travel medical and cancellation.,Travelers,300000,P099,Travel Secure,1,PeDang Insure
